provincia;poblacion;nombre_via;num_via;bis;codigo_postal;prima_total;anio_antiguedad;numero_proyecto
BARCELONA;BARCELONA; COSTA I CUXART ;10;;8031;;;
BARCELONA;BARCELONA; COSTA I CUXART ;4;;8031;;;
BARCELONA;BARCELONA; COSTA I CUXART ;8;;8031;;;
BARCELONA;BARCELONA; BARO D'ESPONELLA ;16;;8031;;;
BARCELONA;BARCELONA; BARO D'ESPONELLA ;27;;8031;;;
BARCELONA;BARCELONA; BARO D'ESPONELLA ;33;;8031;;;
BARCELONA;BARCELONA; AMILCAR ;1;;8031;;;
BARCELONA;BARCELONA; ANETO ;12;;8031;;;
BARCELONA;BARCELONA; ARNAU ;19;;8031;;;
BARCELONA;BARCELONA; BERET ;56;;8031;;;
BARCELONA;BARCELONA; BERET ;66;;8031;;;
BARCELONA;BARCELONA; CADI ;50;;8031;;;
BARCELONA;BARCELONA; CADI ;22;;8031;;;
BARCELONA;BARCELONA; CADI ;17;;8031;;;
BARCELONA;BARCELONA; CAMPOAMOR ;32;;8031;;;
BARCELONA;BARCELONA; CAMPOAMOR ;13;;8031;;;
BARCELONA;BARCELONA; CAMPOAMOR ;43;;8031;;;
BARCELONA;BARCELONA; CANIGO ;119;;8031;;;
BARCELONA;BARCELONA; CANIGO ;107;;8031;;;
BARCELONA;BARCELONA; CANIGO ;9;;8031;;;
BARCELONA;BARCELONA; CARTELLA ;178;;8031;;;
BARCELONA;BARCELONA; CARTELLA ;81;;8031;;;
BARCELONA;BARCELONA; CARTELLA ;18;;8031;;;
BARCELONA;BARCELONA; CARTELLA ;92;;8031;;;
BARCELONA;BARCELONA; CARTELLA ;131;;8031;;;
BARCELONA;BARCELONA; CARTELLA ;174;;8031;;;
BARCELONA;BARCELONA; CARTELLA ;26;;8031;;;
BARCELONA;BARCELONA; CARTELLA ;150;;8031;;;
BARCELONA;BARCELONA; CARTELLA ;76;;8031;;;
BARCELONA;BARCELONA; CARTELLA ;77;;8031;;;
BARCELONA;BARCELONA; CARTELLA ;79;;8031;;;
BARCELONA;BARCELONA; CARTELLA ;14;;8031;;;
BARCELONA;BARCELONA; CARTELLA ;83;;8031;;;
BARCELONA;BARCELONA; CARTELLA ;50;;8031;;;
BARCELONA;BARCELONA; CARTELLA ;34;;8031;;;
BARCELONA;BARCELONA; CHAPI ;63;;8031;;;
BARCELONA;BARCELONA; CONGRES ;92;;8031;;;
BARCELONA;BARCELONA; CONGRES ;2;;8031;;;
BARCELONA;BARCELONA; DAS ;5;;8031;;;
BARCELONA;BARCELONA; DE FRANCESC BOLOS ;35;;8031;;;
BARCELONA;BARCELONA; DOCTOR LETAMENDI ;30;;8031;;;
BARCELONA;BARCELONA; DOCTOR LETAMENDI ;10;;8031;;;
BARCELONA;BARCELONA; DOCTOR PI I MOLIST ;97;;8031;;;
BARCELONA;BARCELONA; DOCTOR PI I MOLIST ;19;;8031;;;
BARCELONA;BARCELONA; DOCTOR PI I MOLIST ;39;;8031;;;
BARCELONA;BARCELONA; DOCTOR PI I MOLIST ;109;;8031;;;
BARCELONA;BARCELONA; DOCTOR PI I MOLIST ;27;;8031;;;
BARCELONA;BARCELONA; DOCTOR PI I MOLIST ;79;;8031;;;
BARCELONA;BARCELONA; EDUARD TODA ;42;;8031;;;
BARCELONA;BARCELONA; EDUARD TODA ;1;;8031;;;
BARCELONA;BARCELONA; EDUARD TODA ;12;;8031;;;
BARCELONA;BARCELONA; EUCLIDES ;5;;8031;;;
BARCELONA;BARCELONA; FELIU I CODINA ;69;;8031;;;
BARCELONA;BARCELONA; FELIU I CODINA ;45;;8031;;;
BARCELONA;BARCELONA; FELIU I CODINA ;12;;8031;;;
BARCELONA;BARCELONA; FELIU I CODINA ;14;;8031;;;
BARCELONA;BARCELONA; GRECO ;7;;8031;;;
BARCELONA;BARCELONA; GRECO ;9;;8031;;;
BARCELONA;BARCELONA; GRECO ;12;;8031;;;
BARCELONA;BARCELONA; HEDILLA ;125;;8031;;;
BARCELONA;BARCELONA; HEDILLA ;133;;8031;;;
BARCELONA;BARCELONA; HEDILLA ;46;;8031;;;
BARCELONA;BARCELONA; HEDILLA ;91;;8031;;;
BARCELONA;BARCELONA; HEDILLA ;57;;8031;;;
BARCELONA;BARCELONA; HEDILLA ;119;;8031;;;
BARCELONA;BARCELONA; HORTA ;37;;8031;;;
BARCELONA;BARCELONA; HORTA ;2;;8031;;;
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;54;;8031;;;
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;8 B;;8031;;;
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;38;;8031;;;
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;13;;8031;;;
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;36;;8031;;;
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;8;;8031;;;
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;6;;8031;;;
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;18;;8031;;;
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;50;;8031;;;
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;4;;8031;;;
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;36 B;;8031;;;
BARCELONA;BARCELONA; LLORET DE MAR ;57;;8031;;;
BARCELONA;BARCELONA; MARTI I ALSINA ;16;;8031;;;
BARCELONA;BARCELONA; MONTMAJOR ;19;;8031;;;
BARCELONA;BARCELONA; ORDUÑA ;6;;8031;;;
BARCELONA;BARCELONA; PETRARCA ;42;;8031;;;
BARCELONA;BARCELONA; PETRARCA ;26;;8031;;;
BARCELONA;BARCELONA; PINTOR CASAS ;12;;8031;;;
BARCELONA;BARCELONA; PINTOR MIR ;8;;8031;;;
BARCELONA;BARCELONA; PINTOR MIR ;2;;8031;;;
BARCELONA;BARCELONA; PORRERA ;15;;8031;;;
BARCELONA;BARCELONA; SABASTIDA ;25;;8031;;;
BARCELONA;BARCELONA; SALSES ;63;;8031;;;
BARCELONA;BARCELONA; SALSES ;116;;8031;;;
BARCELONA;BARCELONA; SALSES ;116 B;;8031;;;
