test_id;ref_catastral;provincia;poblacion;nombreVia;numeroVia;codigoPostal
Mec01;9240222YJ3994A0001EH;;;;;
Mec02;1064948YJ2716S0001YY;;;;;
Mec03;1083805YJ2708S0001KD;;;;;
Mec04;;Valencia;Valencia;Diego Sevilla;17;46112
Mec05;1083621YJ2718S0001IJ;;;;;
Mec06;1083806YJ2708S0001RD;;;;;
Mec07;1083620YJ2718S0001XJ ;;;;;
Mec08;1083807YJ2718S0001DJ;;;;;
Mec09a;1083619YJ2718S0001JJ;;;;;
Mec10a;1083808YJ2718S0001XJ;;;;;
Mec12a;;Valencia;Valencia;Diego Sevilla;18;46112
Mec13a;1083618YJ2718S0001IJ;;;;;
Mec14a;1083809YJ2718S0001IJ;;;;;
Mec20;;;;;;
Mec16;1083617YJ2718S0001XJ;;;;;
Mec19;1083810YJ2718S0001DJ;;;;;
Mec20;1083616YJ2718S0001DJ;;;;;
Mec21;1083811YJ2718S0001XJ;;;;;
Mec23;1083615YJ2718S0001RJ;;;;;
Mec24;1083812YJ2718S0001IJ;;;;;
Mec25;1083614YJ2718S0001KJ;;;;;
Mec36;1083613YJ2718S0001OJ;Valencia;Valencia;Diego Sevilla;20;46112
Mec15;;;;;;
Mec35;1083612YJ2718S0001MJ;Valencia;Valencia;Mossen Jose Estelles;1;46112
Mec38;1083638YJ2718S0001LJ;;;;;
Mec47;;;;;;
MecConPer01;1083637YJ2718S0001PJ;;;;;
MecConPer02;2263102YJ2726S0001TP;;;;;
MecConPer04;2869518YJ2726N0001TW;;;;;
MecMotSupGen20;1083636YJ2718S0001QJ;;;;;
MecParRetSim23;1083635YJ2718S0001GJ;;;;;
MecParRetPro23;1083635YJ2718S0001GJ;;;;;
MecParRetPro28;1083635YJ2718S0001GJ;;;;;
Mec94;1083635YJ2718S0001GJ;;;;;
Mec95;1083635YJ2718S0001GJ;;;;;
Mec100;1083634YJ2718S0001YJ;;;;;
Mec101;1083633YJ2718S0001BJ;;;;;
Mec101a;8742404YJ3984D0004QL;;;;;
Mec101b;8742404YJ3984D0004QL;;;;;
Mec102;1083632YJ2718S0001AJ;;;;;
Mec103;1083631YJ2718S0001WJ;;;;;
Mec104;1083630YJ2718S0001HJ;;;;;
Mec105;9240220YJ3994A0001IH;;;;;
Mec106a;1083629YJ2718S0001AJ;;;;;
Mec106b;1083629YJ2718S0001AJ;;;;;
Mec107;1083629YJ2718S0001AJ;;;;;
Mec108;8941908YJ3984B0003SM;;;;;
Mec110;9040511YJ3994A0001TH;;;;;
Mec111;9140204YJ3994S0001KE;;;;;
Mec112;9240234YJ3994A0001GH;;;;;
