Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA,  CAN TRAVI 3, 37
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA,  JUAN DE MENA , 13
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA,  SANT CRISPI , 11
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA,  TIRO , 6
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA,  TIRO , 2
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, JORDA , 30
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, JORDA , 29
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, L'ESTATUT DE CATALUNYA , 5
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, L'ESTATUT DE CATALUNYA , 9
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, CAL TOTXO , 24
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, AIGÜES , 362
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, SANT CUGAT , 37
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, SANT CUGAT , 35
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, SANT CUGAT , 31
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, SANT CUGAT , 21
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, VALL D'HEBRON , 198
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, VALL D'HEBRON , 200
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, VALL D'HEBRON , 210
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, VALL D'HEBRON , 204
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, VALL D'HEBRON , 208
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, VALL D'HEBRON , 202
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, VALL D'HEBRON , 206
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, MONTBAU , 8
Comprobacion de datos no contemplada para la direccion BARCELONA, BARCELONA, ZURBARAN , 1
