provincia;poblacion;direccion;numero;bis;codigo_postal;prima_total;anio_antiguedad;numero_proyecto
BARCELONA;BARCELONA; ARENYS ;82;;8035;1.824,36 €;1964;82594
BARCELONA;BARCELONA; ARENYS ;88;;8035;1.771,55 €;1967;82595
BARCELONA;BARCELONA; ARIOSTO ;15;;8035;877,87 €;1999;82597
BARCELONA;BARCELONA; AUGUST FONT ;17;;8035;539,45 €;1950;82598
BARCELONA;BARCELONA; AUGUST FONT ;35;;8035;4.564,72 €;1978;82599
BARCELONA;BARCELONA; AUGUST FONT ;31;;8035;4.564,72 €;1978;82600
BARCELONA;BARCELONA; AUGUST FONT ;41;;8035;4.564,72 €;1978;82603
BARCELONA;BARCELONA; BENLLIURE ;1;;8035;3.274,39 €;1999;82604
BARCELONA;BARCELONA; BENLLIURE ;5;;8035;3.274,39 €;1999;82606
BARCELONA;BARCELONA; BENLLIURE ;9;;8035;3.274,39 €;1999;82608
BARCELONA;BARCELONA; BERRUGUETE ;32;;8035;1.739,98 €;1968;82609
BARCELONA;BARCELONA; BERRUGUETE ;40;;8035;1.745,82 €;1968;82612
BARCELONA;BARCELONA; BERRUGUETE ;38;;8035;1.558,85 €;1968;82613
BARCELONA;BARCELONA; CAN TRAVI ;36;;8035;1.745,82 €;1968;82615
BARCELONA;BARCELONA; CAN TRAVI ;41;;8035;1.739,98 €;1968;82617
BARCELONA;BARCELONA; CAN TRAVI ;38;;8035;1.558,85 €;1968;82618
BARCELONA;BARCELONA; CAN TRAVI ;47;;8035;1.808,76 €;1968;82619
BARCELONA;BARCELONA; CAN TRAVI ;34;;8035;1.464,06 €;1968;82621
BARCELONA;BARCELONA; CAN TRAVI ;45;;8035;1.745,82 €;1968;82622
BARCELONA;BARCELONA; CAN TRAVI ;39;;8035;1.739,98 €;1968;82625
BARCELONA;BARCELONA; CAN TRAVI 3;37;;8035;;;
BARCELONA;BARCELONA; CANÇO ;6;;8035;1.825,68 €;1963;82629
BARCELONA;BARCELONA; CANOVES ;94;;8035;1.750,26 €;1971;82632
BARCELONA;BARCELONA; COLLSEROLA ;26;;8035;511,36 €;1958;82633
BARCELONA;BARCELONA; COLLSEROLA ;29;;8035;2.302,95 €;1968;82634
BARCELONA;BARCELONA; COLLSEROLA ;61;;8035;4.564,72 €;1978;82636
BARCELONA;BARCELONA; COLLSEROLA ;23;;8035;2.302,95 €;1968;82638
BARCELONA;BARCELONA; CORTADA ;52;;8035;1.135,11 €;1980;82641
BARCELONA;BARCELONA; FASTENRATH ;133;I;8035;487,28 €;1986;82642
BARCELONA;BARCELONA; FASTENRATH ;108;;8035;1.190,58 €;1974;82643
BARCELONA;BARCELONA; FONT BALIARDA ;7;;8035;512,16 €;1965;82646
