provincia;poblacion;direccion;numero;bis;codigo_postal;prima_total;anio_antiguedad;numero_proyecto
BARCELONA;BARCELONA; ARENYS ;82;;8035;1.418,62 €;1964;82453
BARCELONA;BARCELONA; ARENYS ;88;;8035;1.771,55 €;1967;82454
BARCELONA;BARCELONA; ARIOSTO ;15;;8035;877,87 €;1999;82455
BARCELONA;BARCELONA; AUGUST FONT ;17;;8035;539,45 €;1950;82456
BARCELONA;BARCELONA; AUGUST FONT ;35;;8035;4.564,72 €;1978;82457
BARCELONA;BARCELONA; AUGUST FONT ;31;;8035;4.564,72 €;1978;82459
BARCELONA;BARCELONA; AUGUST FONT ;41;;8035;4.564,72 €;1978;82460
BARCELONA;BARCELONA; BENLLIURE ;1;;8035;3.274,39 €;1999;82462
BARCELONA;BARCELONA; BENLLIURE ;5;;8035;3.274,39 €;1999;82463
BARCELONA;BARCELONA; BENLLIURE ;9;;8035;3.274,39 €;1999;82464
BARCELONA;BARCELONA; BERRUGUETE ;32;;8035;1.739,98 €;1968;82465
BARCELONA;BARCELONA; BERRUGUETE ;40;;8035;1.745,82 €;1968;82466
BARCELONA;BARCELONA; BERRUGUETE ;38;;8035;1.558,85 €;1968;82467
BARCELONA;BARCELONA; CAN TRAVI ;36;;8035;1.745,82 €;1968;82468
BARCELONA;BARCELONA; CAN TRAVI ;41;;8035;1.739,98 €;1968;82469
BARCELONA;BARCELONA; CAN TRAVI ;38;;8035;1.558,85 €;1968;82470
BARCELONA;BARCELONA; CAN TRAVI ;47;;8035;1.808,76 €;1968;82471
BARCELONA;BARCELONA; CAN TRAVI ;34;;8035;1.464,06 €;1968;82472
BARCELONA;BARCELONA; CAN TRAVI ;45;;8035;1.745,82 €;1968;82473
BARCELONA;BARCELONA; CAN TRAVI ;39;;8035;1.739,98 €;1968;82474
BARCELONA;BARCELONA; CAN TRAVI 3;37;;8035;;;
BARCELONA;BARCELONA; CANÇO ;6;;8035;1.825,68 €;1963;82475
BARCELONA;BARCELONA; CANOVES ;94;;8035;1.750,26 €;1971;82476
BARCELONA;BARCELONA; COLLSEROLA ;26;;8035;511,36 €;1958;82477
BARCELONA;BARCELONA; COLLSEROLA ;29;;8035;2.302,95 €;1968;82478
BARCELONA;BARCELONA; COLLSEROLA ;61;;8035;4.564,72 €;1978;82479
BARCELONA;BARCELONA; COLLSEROLA ;23;;8035;2.302,95 €;1968;82480
BARCELONA;BARCELONA; CORTADA ;52;;8035;1.135,11 €;1980;82481
BARCELONA;BARCELONA; FASTENRATH ;133;I;8035;487,28 €;1986;82483
BARCELONA;BARCELONA; FASTENRATH ;108;;8035;1.190,58 €;1974;82484
BARCELONA;BARCELONA; FONT BALIARDA ;7;;8035;512,16 €;1965;82485
BARCELONA;BARCELONA; GUTENBERG ;2;;8035;1.533,56 €;1982;82486
BARCELONA;BARCELONA; IDUMEA ;6;;8035;4.750,83 €;1979;82487
BARCELONA;BARCELONA; IDUMEA ;10;;8035;5.066,13 €;1970;82488
BARCELONA;BARCELONA; IDUMEA ;14;;8035;4.527,20 €;1979;82489
BARCELONA;BARCELONA; JERICO ;13;;8035;1.281,66 €;1965;82491
BARCELONA;BARCELONA; JERICO ;3;;8035;1.458,08 €;1965;82492
BARCELONA;BARCELONA; JERICO ;11;;8035;1.277,80 €;1965;82493
BARCELONA;BARCELONA; JERICO ;1;;8035;1.655,62 €;1965;82495
BARCELONA;BARCELONA; JUAN DE MENA ;13;;8035;1.745,82 €;1968;82496
BARCELONA;BARCELONA; JUAN DE MENA ;11;;8035;1.745,82 €;1968;82497
BARCELONA;BARCELONA; JUAN DE MENA ;9;;8035;1.745,82 €;1968;82498
BARCELONA;BARCELONA; JUAN DE MENA ;15;;8035;1.745,82 €;1968;82499
BARCELONA;BARCELONA; JUAN DE MENA ;29;;8035;1.837,85 €;1967;82500
