provincia;poblacion;direccion;numero;bis;codigo_postal;prima_total;anio_antiguedad;numero_proyecto
BARCELONA;BARCELONA;AGUSTINA SARAGOSSA;25;;8017;;;
BARCELONA;BARCELONA;AGUSTINA SARAGOSSA;11;;8017;;;
BARCELONA;BARCELONA;AGUSTINA SARAGOSSA;15;;8017;;;
BARCELONA;BARCELONA;AIGÜES;147;;8017;;;
BARCELONA;BARCELONA;ALACANT;3;;8017;;;
BARCELONA;BARCELONA;ALBERES;5;;8017;;;
BARCELONA;BARCELONA;ALBERES;26;;8017;;;
BARCELONA;BARCELONA;ALBERES;19;;8017;;;
BARCELONA;BARCELONA;ALBERES;46;;8017;;;
BARCELONA;BARCELONA;ALBERES;32;;8017;;;
BARCELONA;BARCELONA;ALBERES;17;;8017;;;
BARCELONA;BARCELONA;ALT DE GIRONELLA;67;;8017;;;
BARCELONA;BARCELONA;ALT DE GIRONELLA;65;;8017;;;
BARCELONA;BARCELONA;ALT DE GIRONELLA;62;;8017;;;
BARCELONA;BARCELONA;ALT DE GIRONELLA;4;;8017;;;
BARCELONA;BARCELONA;ALT DE GIRONELLA;60;;8017;;;
BARCELONA;BARCELONA;ALT DE GIRONELLA;49;;8017;;;
BARCELONA;BARCELONA;ALT DE GIRONELLA;20;;8017;;;
BARCELONA;BARCELONA;ALT DE GIRONELLA;58;;8017;;;
BARCELONA;BARCELONA;ANGEL GUIMERA;24;;8017;;;
BARCELONA;BARCELONA;ANGEL GUIMERA;15;;8017;;;
BARCELONA;BARCELONA;ANGEL GUIMERA;23;;8017;;;
BARCELONA;BARCELONA;ANGEL GUIMERA;19;;8017;;;
BARCELONA;BARCELONA;ANGEL GUIMERA;37;;8017;;;
BARCELONA;BARCELONA;ANGEL GUIMERA;30;;8017;;;
BARCELONA;BARCELONA;ANGEL GUIMERA;41;;8017;;;
BARCELONA;BARCELONA;ANGLI;30;;8017;;;
BARCELONA;BARCELONA;ANGLI;2;;8017;;;
BARCELONA;BARCELONA;ANGLI;36;;8017;;;
BARCELONA;BARCELONA;ANGLI;24;;8017;;;
BARCELONA;BARCELONA;ANGLI;10;;8017;;;
BARCELONA;BARCELONA;ANGLI;1;;8017;;;
BARCELONA;BARCELONA;ANGLI;4;;8017;;;
BARCELONA;BARCELONA;ANGLI;32;;8017;;;
BARCELONA;BARCELONA;ANGLI;43;;8017;;;
BARCELONA;BARCELONA;ANGLI;29;;8017;;;
BARCELONA;BARCELONA;ANGLI;80;;8017;;;
BARCELONA;BARCELONA;ANGLI;4;;8017;;;
BARCELONA;BARCELONA;ANGLI;33;;8017;;;
BARCELONA;BARCELONA;ANGLI;6;;8017;;;
BARCELONA;BARCELONA;ANGLI;26;;8017;;;
BARCELONA;BARCELONA;ANGLI;34;;8017;;;
BARCELONA;BARCELONA;ANGLI;8;;8017;;;
BARCELONA;BARCELONA;ANGLI;8;;8017;;;
BARCELONA;BARCELONA;ANGLI;7;;8017;;;
BARCELONA;BARCELONA;BONANOVA;63;;8017;;;
BARCELONA;BARCELONA;BONANOVA;105;;8017;;;
BARCELONA;BARCELONA;BONANOVA;94;;8017;;;
BARCELONA;BARCELONA;BONANOVA;56;;8017;;;
BARCELONA;BARCELONA;BONANOVA;50;;8017;;;
BARCELONA;BARCELONA;BONANOVA;78;;8017;;;
BARCELONA;BARCELONA;BONANOVA;93;;8017;;;
BARCELONA;BARCELONA;BONANOVA;89;;8017;;;
BARCELONA;BARCELONA;BONANOVA;54;;8017;;;
BARCELONA;BARCELONA;BONANOVA;66;;8017;;;
BARCELONA;BARCELONA;BONANOVA;61;;8017;;;
BARCELONA;BARCELONA;BONANOVA;63;;8017;;;
BARCELONA;BARCELONA;BONANOVA;109;;8017;;;
BARCELONA;BARCELONA;BONANOVA;57;;8017;;;
BARCELONA;BARCELONA;BONANOVA;49;;8017;;;
BARCELONA;BARCELONA;BONANOVA;46;;8017;;;
BARCELONA;BARCELONA;BORI I FONTESTA;43;;8017;;;
BARCELONA;BARCELONA;BORI I FONTESTA;39;;8017;;;
BARCELONA;BARCELONA;BORI I FONTESTA;49;;8017;;;
BARCELONA;BARCELONA;BORI I FONTESTA;51;;8017;;;
BARCELONA;BARCELONA;BORI I FONTESTA;45;;8017;;;
BARCELONA;BARCELONA;BUÏGAS;26;;8017;;;
BARCELONA;BARCELONA;BUÏGAS;30;;8017;;;
BARCELONA;BARCELONA;BUÏGAS;31;;8017;;;
BARCELONA;BARCELONA;CALATRAVA;39;;8017;;;
BARCELONA;BARCELONA;CALATRAVA;16;;8017;;;
BARCELONA;BARCELONA;CALATRAVA;13;;8017;;;
BARCELONA;BARCELONA;CALATRAVA;24;;8017;;;
BARCELONA;BARCELONA;CALATRAVA;92;;8017;;;
BARCELONA;BARCELONA;CALATRAVA;72;;8017;;;
BARCELONA;BARCELONA;CALATRAVA;66;;8017;;;
BARCELONA;BARCELONA;CALATRAVA;20;;8017;;;
BARCELONA;BARCELONA;CANET;34;;8017;;;
BARCELONA;BARCELONA;CANET;37;;8017;;;
BARCELONA;BARCELONA;CANET;38;;8017;;;
BARCELONA;BARCELONA;CANET;25;;8017;;;
BARCELONA;BARCELONA;CARAVEL·LA LA NIÑA;8;;8017;;;
BARCELONA;BARCELONA;CARAVEL·LA LA NIÑA;6;;8017;;;
BARCELONA;BARCELONA;CARAVEL·LA LA NIÑA;20;;8017;;;
BARCELONA;BARCELONA;CARAVEL·LA LA NIÑA;21;;8017;;;
BARCELONA;BARCELONA;CARDENAL SENTMENAT;23;;8017;;;
BARCELONA;BARCELONA;CARRASCO I FORMIGUERA;1;;8017;;;
BARCELONA;BARCELONA;CARRASCO I FORMIGUERA;6;;8017;;;
BARCELONA;BARCELONA;CARRASCO I FORMIGUERA;11;;8017;;;
