provincia;poblacion;direccion;numero;bis;codigo_postal;prima_total;anio_antiguedad;numero_proyecto
BARCELONA;BARCELONA;VILAMARI;103;;8029;;;
BARCELONA;BARCELONA;VILAMARI;140;;8029;;;
BARCELONA;BARCELONA;CALABRIA;256;;8029;;;
BARCELONA;BARCELONA;CALABRIA;205;;8029;;;
BARCELONA;BARCELONA;CALABRIA;274;;8029;;;
BARCELONA;BARCELONA;CALABRIA;224;;8029;;;
BARCELONA;BARCELONA;CALABRIA;281;;8029;;;
BARCELONA;BARCELONA;CALABRIA;241;;8029;;;
BARCELONA;BARCELONA;CALABRIA;255;;8029;;;
BARCELONA;BARCELONA;CALABRIA;253;;8029;;;
BARCELONA;BARCELONA;CALABRIA;195;;8029;;;
BARCELONA;BARCELONA;CALABRIA;290;;8029;;;
BARCELONA;BARCELONA;CALABRIA;235;;8029;;;
BARCELONA;BARCELONA;CALABRIA;252;;8029;;;
BARCELONA;BARCELONA;CALABRIA;273;;8029;;;
BARCELONA;BARCELONA;CALABRIA;207;;8029;;;
BARCELONA;BARCELONA;CALABRIA;205;;8029;;;
BARCELONA;BARCELONA;CALABRIA;228;;8029;;;
BARCELONA;BARCELONA;CALABRIA;269;;8029;;;
BARCELONA;BARCELONA;CALABRIA;277;;8029;;;
BARCELONA;BARCELONA;CALABRIA;276;;8029;;;
BARCELONA;BARCELONA;CALABRIA;209;;8029;;;
BARCELONA;BARCELONA;CALABRIA;202;;8029;;;
BARCELONA;BARCELONA;CALABRIA;249;;8029;;;
BARCELONA;BARCELONA;CALABRIA;211;;8029;;;
BARCELONA;BARCELONA;CALABRIA;246;;8029;;;
BARCELONA;BARCELONA;CALABRIA;232;;8029;;;
BARCELONA;BARCELONA;CALABRIA;259;;8029;;;
BARCELONA;BARCELONA;CALABRIA;202;;8029;;;
BARCELONA;BARCELONA;CALABRIA;236;;8029;;;
BARCELONA;BARCELONA;CALABRIA;199;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;253;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;238;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;203;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;255;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;210;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;227;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;292;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;241;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;294;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;318;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;334;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;190;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;221;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;218;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;308;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;236;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;232;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;209;;8029;;;
BARCELONA;BARCELONA;COMTE BORRELL;229;;8029;;;
