provincia;poblacion;direccion;numero;bis;codigo_postal;prima_total;anio_antiguedad;numero_proyecto
BARCELONA;BARCELONA; COSTA I CUXART ;10;;8031;1.364,73 €;1959;68435
BARCELONA;BARCELONA; COSTA I CUXART ;4;;8031;;;
BARCELONA;BARCELONA; COSTA I CUXART ;8;;8031;;;
BARCELONA;BARCELONA; BARO D'ESPONELLA ;16;;8031;1.760,91 €;1971;68437
BARCELONA;BARCELONA; BARO D'ESPONELLA ;27;;8031;1.734,30 €;1971;68440
BARCELONA;BARCELONA; BARO D'ESPONELLA ;33;;8031;2.175,74 €;1971;68441
BARCELONA;BARCELONA; AMILCAR ;1;;8031;1.548,70 €;1974;68443
BARCELONA;BARCELONA; ANETO ;12;;8031;;;
BARCELONA;BARCELONA; ARNAU ;19;;8031;1.427,98 €;1969;68446
BARCELONA;BARCELONA; BERET ;56;;8031;1.123,42 €;1955;68448
BARCELONA;BARCELONA; BERET ;66;;8031;1.064,42 €;1955;68449
BARCELONA;BARCELONA; CADI ;50;;8031;1.006,36 €;1954;68450
BARCELONA;BARCELONA; CADI ;22;;8031;1.418,07 €;1959;68451
BARCELONA;BARCELONA; CADI ;17;;8031;1.390,36 €;1959;68452
BARCELONA;BARCELONA; CAMPOAMOR ;32;;8031;870,53 €;1980;68454
BARCELONA;BARCELONA; CAMPOAMOR ;13;;8031;2.510,71 €;1977;68455
BARCELONA;BARCELONA; CAMPOAMOR ;43;;8031;1.400,63 €;1969;68458
BARCELONA;BARCELONA; CANIGO ;119;;8031;1.175,30 €;1965;68460
BARCELONA;BARCELONA; CANIGO ;107;;8031;1.522,45 €;1966;68461
BARCELONA;BARCELONA; CANIGO ;9;;8031;3.280,43 €;1981;68462
BARCELONA;BARCELONA; CARTELLA ;178;;8031;4.199,56 €;1976;68465
BARCELONA;BARCELONA; CARTELLA ;81;;8031;1.414,73 €;1975;68466
BARCELONA;BARCELONA; CARTELLA ;18;;8031;1.309,11 €;1959;68468
BARCELONA;BARCELONA; CARTELLA ;92;;8031;1.338,67 €;2007;68469
BARCELONA;BARCELONA; CARTELLA ;131;;8031;522,47 €;1970;68470
BARCELONA;BARCELONA; CARTELLA ;174;;8031;1.805,52 €;1970;68471
BARCELONA;BARCELONA; CARTELLA ;26;;8031;1.297,50 €;1959;68474
BARCELONA;BARCELONA; CARTELLA ;150;;8031;2.349,07 €;1966;68475
BARCELONA;BARCELONA; CARTELLA ;76;;8031;1.117,52 €;1964;68476
BARCELONA;BARCELONA; CARTELLA ;77;;8031;1.925,11 €;1970;68477
BARCELONA;BARCELONA; CARTELLA ;79;;8031;3.241,95 €;1975;68478
BARCELONA;BARCELONA; CARTELLA ;14;;8031;1.357,04 €;1959;68479
BARCELONA;BARCELONA; CARTELLA ;83;;8031;3.034,92 €;1975;68480
BARCELONA;BARCELONA; CARTELLA ;50;;8031;3.119,09 €;1972;68482
BARCELONA;BARCELONA; CARTELLA ;34;;8031;2.140,67 €;1959;68483
BARCELONA;BARCELONA; CHAPI ;63;;8031;607,14 €;1969;68484
BARCELONA;BARCELONA; CONGRES ;92;;8031;1.367,18 €;1972;68485
BARCELONA;BARCELONA; CONGRES ;2;;8031;1.739,94 €;2002;68488
BARCELONA;BARCELONA; DAS ;5;;8031;1.717,46 €;1975;68489
BARCELONA;BARCELONA; DE FRANCESC BOLOS ;35;;8031;757,25 €;1965;68490
BARCELONA;BARCELONA; DOCTOR LETAMENDI ;30;;8031;1.309,29 €;1969;68492
BARCELONA;BARCELONA; DOCTOR LETAMENDI ;10;;8031;679,53 €;1961;68493
BARCELONA;BARCELONA; DOCTOR PI I MOLIST ;97;;8031;1.840,30 €;1962;68494
BARCELONA;BARCELONA; DOCTOR PI I MOLIST ;19;;8031;1.347,48 €;1957;68495
BARCELONA;BARCELONA; DOCTOR PI I MOLIST ;39;;8031;4.131,71 €;1982;68496
BARCELONA;BARCELONA; DOCTOR PI I MOLIST ;109;;8031;1.691,56 €;1962;68497
BARCELONA;BARCELONA; DOCTOR PI I MOLIST ;27;;8031;496,78 €;1900;68499
BARCELONA;BARCELONA; DOCTOR PI I MOLIST ;79;;8031;4.676,09 €;1966;68500
BARCELONA;BARCELONA; EDUARD TODA ;42;;8031;1.953,39 €;1962;68502
BARCELONA;BARCELONA; EDUARD TODA ;1;;8031;1.363,99 €;1983;68504
BARCELONA;BARCELONA; EDUARD TODA ;12;;8031;2.585,31 €;1971;68507
BARCELONA;BARCELONA; EUCLIDES ;5;;8031;2.127,03 €;1980;68508
BARCELONA;BARCELONA; FELIU I CODINA ;69;;8031;3.029,47 €;1981;68509
BARCELONA;BARCELONA; FELIU I CODINA ;45;;8031;1.160,20 €;1968;68510
BARCELONA;BARCELONA; FELIU I CODINA ;12;;8031;2.732,67 €;1969;68512
BARCELONA;BARCELONA; FELIU I CODINA ;14;;8031;2.845,26 €;1971;68513
BARCELONA;BARCELONA; GRECO ;7;;8031;1.883,71 €;1967;68515
BARCELONA;BARCELONA; GRECO ;9;;8031;2.819,25 €;1991;68516
BARCELONA;BARCELONA; GRECO ;12;;8031;1.490,16 €;1974;68517
BARCELONA;BARCELONA; HEDILLA ;125;;8031;1.112,50 €;1967;68520
BARCELONA;BARCELONA; HEDILLA ;133;;8031;904,67 €;1968;68521
BARCELONA;BARCELONA; HEDILLA ;46;;8031;1.285,60 €;1972;68523
BARCELONA;BARCELONA; HEDILLA ;91;;8031;627,87 €;1974;68524
BARCELONA;BARCELONA; HEDILLA ;57;;8031;1.115,96 €;1982;68525
BARCELONA;BARCELONA; HEDILLA ;119;;8031;1.411,53 €;1969;68526
BARCELONA;BARCELONA; HORTA ;37;;8031;518,23 €;1900;68528
BARCELONA;BARCELONA; HORTA ;2;;8031;1.957,02 €;1986;68529
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;54;;8031;2.148,65 €;1960;68532
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;8 B;;8031;;;
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;38;;8031;2.141,12 €;1969;68534
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;13;;8031;580,93 €;1964;68535
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;36;;8031;1.171,74 €;1970;68537
