provincia;poblacion;direccion;numero;bis;codigo_postal;prima_total;anio_antiguedad;numero_proyecto
BARCELONA;BARCELONA; CARDEDEU ;55;;8023;550,40 €;1968;76684
BARCELONA;BARCELONA; CARDEDEU ;37;;8023;525,43 €;1980;76685
BARCELONA;BARCELONA; CARDEDEU ;39;;8023;579,43 €;1970;76687
BARCELONA;BARCELONA; CASTELLTERÇOL ;32;;8023;2.440,40 €;1973;76689
BARCELONA;BARCELONA; COSTA ;55;;8023;1.481,18 €;1972;76690
BARCELONA;BARCELONA; COSTA ;65;;8023;1.199,78 €;1970;76691
BARCELONA;BARCELONA; COSTA ;28;;8023;587,20 €;1980;76692
BARCELONA;BARCELONA; COSTA ;30;;8023;1.056,25 €;1977;76693
BARCELONA;BARCELONA; COSTA ;61;;8023;1.590,87 €;1977;76694
BARCELONA;BARCELONA; ELISA ;7;;8023;2.186,56 €;1972;76695
BARCELONA;BARCELONA; ELISA ;31;;8023;863,66 €;1980;76696
BARCELONA;BARCELONA; ESCIPIO ;24;;8023;1.374,85 €;1997;76697
BARCELONA;BARCELONA; ESCIPIO ;36 B;;8023;;;
BARCELONA;BARCELONA; ESCIPIO ;20 B;;8023;;;
BARCELONA;BARCELONA; ESCIPIO ;63;;8023;1.099,43 €;1967;76698
BARCELONA;BARCELONA; ESCIPIO ;27;;8023;;;
BARCELONA;BARCELONA; ESPINOI ;11;;8023;907,25 €;1930;76699
BARCELONA;BARCELONA; FARIGOLA ;44;;8023;507,42 €;1936;76701
BARCELONA;BARCELONA; FELIP GIL ;9;;8023;1.065,48 €;1979;76702
BARCELONA;BARCELONA; FERRAN PUIG ;10;;8023;666,11 €;1980;76703
BARCELONA;BARCELONA; FERRAN PUIG ;64;;8023;1.431,22 €;1970;76704
BARCELONA;BARCELONA; FERRAN PUIG ;53;;8023;2.634,31 €;1993;76705
BARCELONA;BARCELONA; FERRAN PUIG ;50;;8023;828,11 €;1960;76706
BARCELONA;BARCELONA; FERRAN PUIG ;75;;8023;793,75 €;1965;76707
BARCELONA;BARCELONA; FERRAN PUIG ;74;;8023;1.436,59 €;1965;76708
BARCELONA;BARCELONA; FERRAN PUIG ;17;;8023;855,05 €;1970;76709
BARCELONA;BARCELONA; FERRAN PUIG ;49;;8023;2.634,31 €;1993;76710
BARCELONA;BARCELONA; FONT DEL COLL ;11;;8023;2.386,78 €;1972;76712
BARCELONA;BARCELONA; FONT DEL REMEI ;24;;8023;714,11 €;1974;76714
BARCELONA;BARCELONA; GOMIS ;110;;8023;5.233,17 €;2000;76715
BARCELONA;BARCELONA; GOMIS ;17;;8023;950,46 €;1933;76716
BARCELONA;BARCELONA; GOMIS ;23;;8023;1.270,01 €;1954;76718
BARCELONA;BARCELONA; GOMIS ;72;;8023;1.520,96 €;1959;76720
