test_id;ref_catastral;provincia;poblacion;nombreVia;numeroVia;codigoPostal
Mec01;9240111YJ3994A0001LH;;;;;
Mec02;3047701YJ2734E;;;;;
Mec03;7962102YJ2802S0002PO       ;;;;;
Mec04;;Valencia;Valencia;Diego Sevilla;1;46112
Mec05;3145501YJ2734E;;;;;
Mec06;3245101YJ2734E;;;;;
Mec07;7962901YJ2802S0002PO       ;;;;;
Mec08;7962305YJ2802S0004QA       ;;;;;
Mec09a;7861407YJ2802S0009IH       ;;;;;
Mec10a;7861602YJ2802S0002PO       ;;;;;
Mec12a;;Valencia;Betera;Moncada;7;46117
Mec13a;3342605YJ2734A;;;;;
Mec14a;3546204YJ2734F;;;;;
Mec20;;;;;;
Mec16;8752609YJ1885S0001JP       ;;;;;
Mec19;7753501YJ1875S0001WY       ;;;;;
Mec20;8752609YJ1885S0001JP       ;;;;;
Mec21;2869504YJ2726N;;;;;
Mec23;2869505YJ2726N;;;;;
Mec24;2869506YJ2726N;;;;;
Mec25;2869507YJ2726N;;;;;
Mec36;9240103YJ3993G0001BU;Valencia;Valencia;Diego Sevilla;3;46112
Mec15;;;;;;
Mec35;9240231YJ3994A0004FL;Valencia;Valencia;Diego Sevilla;4;46112
Mec38;9240106YJ3994A0001QH;;;;;
Mec47;;;;;;
MecConPer01;2869518YJ2726N0001TW;;;;;
MecConPer02;2263102YJ2726S0001TP;;;;;
MecConPer04;2869518YJ2726N0001TW;;;;;
MecMotSupGen20;2869506YJ2726N0001HW;;;;;
MecMotSupGenTest;2869506YJ2726N0001HW;;;;;
MecParRetSim23;2870505YJ2727S0001BR;;;;;
MecParRetPro23;2870505YJ2727S0001BR;;;;;
MecParRetPro28;2870505YJ2727S0001BR;;;;;
Mec94;2870505YJ2727S0001BR;;;;;
Mec95;2870505YJ2727S0001BR;;;;;
Mec100;2871801YJ2727S0001QR;;;;;
Mec101;2970305YJ2727S0001RR;;;;;
Mec101a;8842805YJ3984B0010ZR;;;;;
Mec101b;8842805YJ3984B0010ZR;;;;;
Mec102;2970306YJ2727S0001DR;;;;;
Mec103;2970307YJ2727S0001XR;;;;;
Mec104;2970308YJ2727S0001IR;;;;;
Mec105;9240222YJ3994A0001EH;;;;;
Mec106a;2871805YJ2727S0001FR;;;;;
Mec106b;2871805YJ2727S0001FR;;;;;
Mec107;2871805YJ2727S0001FR;;;;;
Mec108;9240219YJ3994A0009AQ;;;;;
Mec110;9141029YJ3994A0001WH;;;;;
Mec111;9141028YJ3994A0008MM;;;;;
Mec112;9041003YJ3994A0002GJ;;;;;
