test_id;ref_catastral;provincia;poblacion;nombreVia;numeroVia;codigoPostal
Mec01;9240224YJ3994A0004QL;;;;;
Mec02;2869410YJ2726N0001ZW;;;;;
Mec03;2870111YJ2727S0001IR;;;;;
Mec04;;Valencia;Valencia;Diego Sevilla;5;46112
Mec05;2869411YJ2726N0001UW;;;;;
Mec06;2870112YJ2727S0001JR;;;;;
Mec07;2869412YJ2726N0001HW;;;;;
Mec08;2870113YJ2727S0001ER;;;;;
Mec09a;2869413YJ2726N0001WW;;;;;
Mec10a;2870114YJ2727S0001SR;;;;;
Mec12a;;Valencia;Valencia;Diego Sevilla;6;46112
Mec13a;2869414YJ2726N0001AW;;;;;
Mec14a;2870115YJ2727S0001ZR;;;;;
Mec20;;;;;;
Mec16;2870501YJ2727S0001UR;;;;;
Mec19;2870116YJ2727S0001UR;;;;;
Mec20;2870502YJ2727S0001HR;;;;;
Mec21;2871801YJ2727S0001QR;;;;;
Mec23;2870503YJ2727S0001WR;;;;;
Mec24;2871802YJ2727S0001PR;;;;;
Mec25;2870504YJ2727S0001AR;;;;;
Mec36;2871803YJ2727S0001LR;Valencia;Valencia;Diego Sevilla;7;46112
Mec15;;;;;;
Mec35;2870505YJ2727S0001BR;Valencia;Valencia;Diego Sevilla;8;46112
Mec38;2871804YJ2727S0001TR;;;;;
Mec47;;;;;;
MecConPer01;2870506YJ2727S0001YR;;;;;
MecConPer02;2263102YJ2726S0001TP;;;;;
MecConPer04;2869518YJ2726N0001TW;;;;;
MecMotSupGen20;2871805YJ2727S0001FR;;;;;
MecMotSupGenTest;2871805YJ2727S0001FR;;;;;
MecParRetSim23;2870507YJ2727S0001GR;;;;;
MecParRetPro23;2870507YJ2727S0001GR;;;;;
MecParRetPro28;2870507YJ2727S0001GR;;;;;
Mec94;2870507YJ2727S0001GR;;;;;
Mec95;2870507YJ2727S0001GR;;;;;
Mec100;2871806YJ2727S0001MR;;;;;
Mec101;2870508YJ2727S0001QR;;;;;
Mec101a;8842301YJ3984D0001TH;;;;;
Mec101b;8842301YJ3984D0001TH;;;;;
Mec102;2871807YJ2727S0001OR;;;;;
Mec103;2870509YJ2727S0001PR;;;;;
Mec104;2871808YJ2727S0001KR;;;;;
Mec105;9240115YJ3994A0001OH;;;;;
Mec106a;2870510YJ2727S0001GR;;;;;
Mec106b;2870510YJ2727S0001GR;;;;;
Mec107;2870510YJ2727S0001GR;;;;;
Mec108;9240118YJ3993G0004HP;;;;;
Mec110;9041212YJ3984B0006SE;;;;;
Mec111;9141035YJ3994A0004OL;;;;;
Mec112;9141031YJ3994A0001HH;;;;;
