test_id;ref_catastral;provincia;poblacion;nombreVia;numeroVia;codigoPostal
Mec01;9240223YJ3994A0002DJ;;;;;
Mec02;2871809YJ2727S0001RR;;;;;
Mec03;2870511YJ2727S0001QR;;;;;
Mec04;;Valencia;Alaquas;Cadiz;1;46970
Mec05;2871810YJ2727S0001OR;;;;;
Mec06;2870512YJ2727S0001PR;;;;;
Mec07;2871811YJ2727S0001KR ;;;;;
Mec08;2870513YJ2727S0001LR;;;;;
Mec09a;2871812YJ2727S0001RR;;;;;
Mec10a;2870514YJ2727S0001TR;;;;;
Mec12a;;Valencia;Valencia;Diego Sevilla;10;46112
Mec13a;2871813YJ2727S0001DR;;;;;
Mec14a;2870515YJ2727S0001FR;;;;;
Mec20;;;;;;
Mec16;2871814YJ2727S0001XR;;;;;
Mec19;2870516YJ2727S0001MR;;;;;
Mec20;2871815YJ2727S0001IR;;;;;
Mec21;2870517YJ2727S0001OR;;;;;
Mec23;2871816YJ2727S0001JR;;;;;
Mec24;2870518YJ2727S0001KR;;;;;
Mec25;2871817YJ2727S0001ER;;;;;
Mec36;2870519YJ2727S0001RR ;Valencia;Valencia;Diego Sevilla;11;46112
Mec15;;;;;;
Mec35;2871818YJ2727S0001SR;Valencia;Valencia;Diego Sevilla;12;46112
Mec38;2870520YJ2727S0001OR;;;;;
Mec47;;;;;;
MecConPer01;2871819YJ2727S0001ZR;;;;;
MecConPer02;2263102YJ2726S0001TP;;;;;
MecConPer04;2869518YJ2726N0001TW;;;;;
MecMotSupGen20;2870521YJ2727S0001KR;;;;;
MecParRetSim23;2871820YJ2727S0001ER;;;;;
MecParRetPro23;2871820YJ2727S0001ER;;;;;
MecParRetPro28;2871820YJ2727S0001ER;;;;;
Mec94;2871820YJ2727S0001ER;;;;;
Mec95;2871820YJ2727S0001ER;;;;;
Mec100;2871821YJ2727S0001SR;;;;;
Mec101;2869510YJ2726N0001WW;;;;;
Mec101a;8842202YJ3984D0001PH;;;;;
Mec101b;8842202YJ3984D0001PH;;;;;
Mec102;2869511YJ2726N0001AW;;;;;
Mec103;2869512YJ2726N0001BW;;;;;
Mec104;2869513YJ2726N0001YW;;;;;
Mec105;9240221YJ3994A0001JH;;;;;
Mec106a;2870510YJ2727S0001GR;;;;;
Mec106b;2870510YJ2727S0001GR;;;;;
Mec107;2871805YJ2727S0001FR;;;;;
Mec108;9240421YJ3994A0001WH;;;;;
Mec110;9141027YJ3994A0005AB;;;;;
Mec111;9041804YJ3994A0013KW;;;;;
Mec112;9141025YJ3994A0002DJ;;;;;
